,ItemName,Category,UnitPrice,Supplier;;ItemName;Category;Supplier;ItemSupplier;UnitPrice;;;;;
103,Printer Ink,Stationery,16.06,CloudSoft Corp.;103;Printer Ink;Stationery;CloudSoft Corp.;X6Y2;16,06;;;;;
105,Whiteboard,Furniture,160.06,OfficeSupplies Co.;105;Whiteboard;Furniture;OfficeSupplies Co.;X7Y4;160,06;;;;;
110,Laptop Bag,Accessories,35.17,TechMart Inc.;110;Laptop Bag;Accessories;TechMart Inc.;X9Y1;35,17;;;;;
117,Printer Ink,Stationery,16.41,QuickDeliver Ltd.;117;Printer Ink;Stationery;QuickDeliver Ltd.;X6Y5;16,41;;;;;
129,Laptop Bag,Accessories,30.62,CloudSoft Corp.;129;Laptop Bag;Accessories;CloudSoft Corp.;X9Y2;30,62;;;;;
133,Laptop,Electronics,894.01,OfficeSupplies Co.;133;Laptop;Electronics;OfficeSupplies Co.;X10Y4;894,01;;;;;
135,Printer Ink,Stationery,15.95,TechMart Inc.;135;Printer Ink;Stationery;TechMart Inc.;X6Y1;15,95;;;;;
141,Annual Software License,Software,5936.18,CloudSoft Corp.;141;Annual Software License;Software;CloudSoft Corp.;X3Y2;5936,18;;;;;
147,Desk Chair,Furniture,158.31,FurniWorks Ltd.;147;Desk Chair;Furniture;FurniWorks Ltd.;X1Y3;158,31;;;;;
148,Printer,Electronics,224.94,CloudSoft Corp.;148;Printer;Electronics;CloudSoft Corp.;X5Y2;224,94;;;;;
231,Monitor,Electronics,348.58,OfficeSupplies Co.;231;Monitor;Electronics;OfficeSupplies Co.;X8Y4;348,58;;;;;
