customer_id,age,gender,country,annual_income,spending_score,num_purchases,avg_purchase_value,membership_years,website_visits_per_month,cart_abandon_rate,churned,feedback_text,last_purchase_date
99,29,Male,Brazil,31252,64,26,38.86,8,22,0.9,0,Good quality and value for money.,2025-05-05
100,68,Male,India,54516,27,26,44.83,11,17,0.09,0,The website is easy to use.,2025-09-24
101,18,Male,UK,75852,24,5,46.3,0,2,0.34,0,Excellent customer service.,2025-10-17
102,25,Female,Germany,131872,62,25,60.62,6,22,0.68,0,The website is easy to use.,2025-08-05
103,28,Male,Canada,51958,67,29,47.97,10,13,0.26,0,"Great experience, will shop again!",2025-05-30
104,67,Male,Canada,176587,11,32,67.31,11,10,0.48,0,The website is easy to use.,2025-05-03
105,25,Male,UK,141734,85,22,71.83,3,17,0.56,0,Very satisfied with my purchase.,2025-06-09
106,32,Female,India,46189,68,19,38.35,4,5,0.7,0,Good quality and value for money.,2025-08-19
107,25,Male,Brazil,41748,29,6,32.45,0,17,0.45,0,Love the products and fast shipping.,2025-08-16
108,29,Female,Brazil,70220,47,29,52.37,11,5,0.08,0,"Great experience, will shop again!",2025-10-18
109,63,Male,India,55771,79,32,51.81,10,1,0.66,0,Very satisfied with my purchase.,2025-08-13
110,21,Female,Canada,95375,26,14,52.98,3,2,0.3,0,Excellent customer service.,2025-06-12
111,36,Female,USA,108813,86,27,60.38,7,7,0.74,0,Very satisfied with my purchase.,2025-10-04
112,65,Female,India,69090,91,32,47.59,10,2,0.91,1,Difficult to navigate the website.,2023-12-19
113,50,Female,Germany,174440,49,22,58.46,3,24,0.6,0,Good quality and value for money.,2025-05-27
114,32,Male,South Africa,60363,17,10,39.3,3,30,0.82,1,Shipping was too slow.,2024-03-04
115,52,Female,UK,111889,74,20,59.01,3,5,0.07,0,Very satisfied with my purchase.,2025-08-17
116,54,Male,India,40940,18,15,30.95,5,25,0.73,1,Customer service was unhelpful.,2024-11-16
117,44,Male,India,46817,75,11,40.53,1,10,0.77,0,The website is easy to use.,2025-05-22
118,33,Male,USA,135023,62,39,50.3,13,21,0.19,0,Excellent customer service.,2025-07-28
119,69,Male,USA,117523,36,34,46.32,12,3,0.56,0,Very satisfied with my purchase.,2025-09-29
120,32,Female,Japan,95325,30,20,38.53,6,25,0.21,0,Excellent customer service.,2025-08-01
121,36,Female,USA,49872,42,19,37.45,6,15,0.05,0,Excellent customer service.,2025-10-05
122,21,Female,Brazil,54833,14,5,29.43,0,9,0.61,1,"Poor quality, item broke after a week.",2024-01-04
123,52,Female,India,69865,82,13,54.42,0,8,0.16,0,Good quality and value for money.,2025-07-22
124,57,Male,USA,67489,48,33,37.82,13,7,0.28,0,"Great experience, will shop again!",2025-08-27
125,42,Female,South Africa,64119,53,15,40.85,2,28,0.91,0,Love the products and fast shipping.,2025-05-10
126,68,Male,Brazil,82908,8,27,37.23,11,12,0.14,0,"Great experience, will shop again!",2025-05-13
127,29,Female,Brazil,78750,59,16,44.84,3,30,0.34,0,"Great experience, will shop again!",2025-08-09
128,22,Female,India,69592,27,12,34.38,2,7,0.09,0,Good quality and value for money.,2025-06-16
129,57,Male,Brazil,28443,90,33,49.12,11,14,0.31,0,Good quality and value for money.,2025-08-13
130,31,Female,UK,106308,68,29,50.86,8,24,0.19,0,Very satisfied with my purchase.,2025-08-17
131,54,Female,Brazil,53228,27,20,29.95,7,19,0.48,0,Love the products and fast shipping.,2025-06-19
132,70,Male,USA,170143,78,18,73.37,1,24,0.96,0,Love the products and fast shipping.,2025-06-10
133,47,Male,France,89473,16,14,47.44,3,4,0.18,1,"Poor quality, item broke after a week.",2024-08-17
134,67,Male,Germany,156580,46,15,59.87,1,19,0.02,0,"Great experience, will shop again!",2025-09-04
135,36,Female,India,68972,31,28,45.14,10,17,0.08,0,Very satisfied with my purchase.,2025-06-15
136,30,Male,France,31280,20,6,39.51,2,13,0.88,1,Difficult to navigate the website.,2024-03-08
137,45,Female,Germany,61599,29,27,43.75,10,9,0.32,0,The website is easy to use.,2025-05-04
138,38,Female,France,40541,21,16,27.59,6,1,0.83,0,"Great experience, will shop again!",2025-07-29
139,43,Male,Brazil,78489,44,38,37.07,14,27,0.49,0,Very satisfied with my purchase.,2025-09-13
140,59,Male,UK,140426,9,38,57.29,15,8,0.22,0,Love the products and fast shipping.,2025-10-27
141,19,Male,Germany,134534,75,19,54.1,1,29,0.38,0,"Great experience, will shop again!",2025-06-20
142,47,Female,India,46669,9,9,31.38,3,27,0.4,0,Good quality and value for money.,2025-09-28
143,39,Male,Canada,83752,74,17,60.87,3,11,0.64,0,Love the products and fast shipping.,2025-09-27
144,68,Male,USA,71726,28,18,33.76,5,4,0.82,1,Customer service was unhelpful.,2025-03-16
145,19,Male,USA,122092,70,17,63.88,1,3,0.66,0,Good quality and value for money.,2025-09-20
146,38,Female,Germany,41112,68,28,44.07,9,24,0.81,0,Love the products and fast shipping.,2025-05-08
147,18,Female,India,67787,54,10,48.78,0,24,0.43,0,Love the products and fast shipping.,2025-05-17
148,36,Male,India,61242,64,17,53.56,3,26,0.17,0,Very satisfied with my purchase.,2025-07-24
149,66,Female,France,94651,30,30,41.01,11,21,0.03,0,Excellent customer service.,2025-05-23
150,70,Male,Germany,73191,75,25,56.41,7,20,0.84,0,The website is easy to use.,2025-07-18
151,29,Female,USA,98102,9,17,44.15,5,9,0.34,0,Very satisfied with my purchase.,2025-07-09
152,67,Male,Canada,107866,56,14,51.79,2,30,0.64,0,Love the products and fast shipping.,2025-05-22
153,55,Male,UK,71462,16,29,36.55,11,30,0.7,0,Love the products and fast shipping.,2025-08-19
154,41,Female,USA,86047,6,26,38.17,10,13,0.96,0,Excellent customer service.,2025-05-06
155,37,Male,USA,123418,94,34,62.77,8,26,0.79,0,Very satisfied with my purchase.,2025-09-05
156,70,Male,Germany,92677,77,20,63.66,3,24,0.84,0,Very satisfied with my purchase.,2025-09-22
157,46,Female,India,30928,8,31,29.28,14,2,0.24,1,Difficult to navigate the website.,2025-03-03
158,58,Male,Canada,166503,59,38,57.6,12,2,0.68,0,Love the products and fast shipping.,2025-08-08
159,33,Female,Brazil,43595,69,21,45.55,6,3,0.43,0,"Great experience, will shop again!",2025-10-20
160,58,Male,India,35114,11,12,24.61,4,13,0.81,0,Very satisfied with my purchase.,2025-05-17
161,69,Female,Canada,154762,67,31,73.16,8,30,0.33,0,Good quality and value for money.,2025-07-27
162,41,Female,Canada,50302,37,23,38.57,7,29,0.91,1,I will not be shopping here again.,2024-08-10
163,24,Male,India,63205,29,11,42.79,3,27,0.26,0,The website is easy to use.,2025-08-26
164,31,Female,UK,84833,96,33,57.38,10,11,0.17,0,Very satisfied with my purchase.,2025-08-27
165,25,Female,India,71623,90,16,56.65,1,13,0.8,0,"Great experience, will shop again!",2025-10-17
166,22,Male,Japan,145694,30,18,52.47,4,14,0.24,0,Very satisfied with my purchase.,2025-06-15
167,56,Male,USA,129703,48,40,56.64,14,11,0.54,0,The website is easy to use.,2025-07-29
168,20,Female,Canada,62500,55,11,37.23,1,24,0.35,0,Good quality and value for money.,2025-08-13
169,63,Female,USA,125817,43,23,47.48,5,9,0.35,0,Good quality and value for money.,2025-10-04
170,55,Female,Brazil,67532,76,23,45.15,6,1,0.06,0,"Great experience, will shop again!",2025-10-21
171,41,Male,Australia,59948,81,32,43.05,11,14,0.82,0,"Great experience, will shop again!",2025-07-30
172,51,Male,Germany,145412,12,35,49.27,12,11,0.66,0,Very satisfied with my purchase.,2025-07-12
173,27,Male,France,76806,23,24,32.67,9,4,0.87,0,Love the products and fast shipping.,2025-10-17
174,64,Male,Canada,108668,59,16,63.16,3,20,0.8,1,Difficult to navigate the website.,2023-11-13
175,39,Male,UK,141417,79,36,61.47,10,5,0.15,0,The website is easy to use.,2025-05-13
176,37,Male,Germany,84349,42,26,49.6,9,12,0.09,0,"Great experience, will shop again!",2025-07-17
177,57,Male,UK,175453,74,46,61.1,15,18,0.18,0,Love the products and fast shipping.,2025-09-07
178,42,Male,USA,62595,78,12,40.44,0,6,0.7,0,"Great experience, will shop again!",2025-07-02
179,37,Female,UK,121632,87,30,55.07,7,7,0.84,0,Very satisfied with my purchase.,2025-06-29
180,38,Female,India,35127,64,22,39.23,7,19,0.48,0,Very satisfied with my purchase.,2025-10-17
181,59,Male,USA,126954,89,21,59.14,2,10,0.89,0,Excellent customer service.,2025-09-09
182,67,Female,USA,80058,19,31,45.51,13,7,0.78,0,The website is easy to use.,2025-08-23
183,27,Female,Germany,45027,96,15,38.89,2,24,0.82,0,"Great experience, will shop again!",2025-08-03
184,36,Female,UK,72745,20,14,39.42,4,18,0.31,0,Love the products and fast shipping.,2025-05-17
185,51,Male,India,90909,29,18,48.63,5,25,0.54,0,Very satisfied with my purchase.,2025-10-08
186,35,Male,Germany,68013,41,17,51.07,5,9,0.04,0,Love the products and fast shipping.,2025-10-19
187,61,Male,USA,137242,91,33,60.79,8,12,0.99,0,Good quality and value for money.,2025-05-26
188,45,Male,Germany,64105,72,38,39.17,13,26,0.42,0,Love the products and fast shipping.,2025-07-11
189,53,Female,India,71049,82,41,55.59,14,30,0.63,0,"Great experience, will shop again!",2025-09-16
190,60,Female,India,44865,99,21,39.59,4,29,0.27,0,Very satisfied with my purchase.,2025-05-08
191,70,Male,Germany,165842,11,26,55.14,8,4,0.96,1,Shipping was too slow.,2025-01-30
192,20,Female,Australia,148011,4,8,40.52,1,7,0.55,0,Good quality and value for money.,2025-07-16
193,19,Female,India,32037,66,9,37.06,1,26,0.34,0,Very satisfied with my purchase.,2025-10-14
194,26,Male,Japan,121900,42,10,52.18,0,12,0.53,0,The website is easy to use.,2025-05-26
195,22,Male,Canada,104824,88,19,60.87,3,27,0.3,0,Excellent customer service.,2025-10-09
196,30,Female,France,45015,66,14,39.15,2,19,0.89,0,The website is easy to use.,2025-05-05
197,66,Female,Brazil,85644,90,43,50.18,14,5,0.84,0,"Great experience, will shop again!",2025-06-12
198,68,Male,UK,70352,89,19,54.54,4,7,0.68,0,Good quality and value for money.,2025-05-27
199,51,Female,India,85874,62,26,59.0,8,9,0.55,0,Excellent customer service.,2025-05-23
200,39,Male,Japan,144866,92,31,69.57,7,16,0.92,0,Excellent customer service.,2025-05-05
201,35,Male,UK,77456,36,12,37.41,2,26,0.98,0,Good quality and value for money.,2025-05-26
202,60,Male,USA,80281,65,39,54.85,13,4,0.37,0,Very satisfied with my purchase.,2025-08-10
203,61,Male,Canada,124886,14,20,41.91,5,25,0.94,1,I will not be shopping here again.,2024-06-01
204,62,Male,Japan,166435,66,19,70.6,1,1,0.21,0,The website is easy to use.,2025-09-14
205,35,Female,India,28789,15,26,38.65,11,13,0.89,1,Shipping was too slow.,2024-02-27
206,33,Male,India,29702,50,26,34.6,10,12,0.22,0,Very satisfied with my purchase.,2025-08-08
207,57,Male,Australia,132529,73,17,69.21,1,9,0.97,1,I will not be shopping here again.,2025-04-13
208,60,Female,India,77262,82,31,56.65,9,15,0.54,0,Good quality and value for money.,2025-08-27
209,29,Female,Brazil,77520,32,31,46.0,11,14,0.68,0,Very satisfied with my purchase.,2025-08-22
210,33,Male,USA,49090,72,29,51.39,10,19,0.45,0,Good quality and value for money.,2025-09-02
211,46,Male,South Africa,45210,4,17,34.93,6,20,0.45,0,"Great experience, will shop again!",2025-10-18
212,47,Female,USA,148118,86,22,69.3,3,17,0.87,0,Very satisfied with my purchase.,2025-06-08
213,68,Male,India,31748,93,20,45.72,4,26,0.14,0,The website is easy to use.,2025-06-02
214,23,Female,India,29898,7,5,36.77,2,8,0.89,0,Love the products and fast shipping.,2025-10-12
215,38,Male,Japan,66942,79,29,44.49,9,14,0.78,0,Good quality and value for money.,2025-05-25
216,50,Male,India,52110,66,30,47.33,11,19,0.78,0,Love the products and fast shipping.,2025-08-06
217,65,Female,USA,96343,89,31,53.38,8,23,0.35,0,The website is easy to use.,2025-10-23
218,59,Female,India,46263,38,6,39.46,0,10,0.7,0,Love the products and fast shipping.,2025-07-11
219,29,Female,UK,71510,43,25,40.68,8,14,0.1,0,Very satisfied with my purchase.,2025-06-20
220,36,Male,Canada,69840,60,38,39.08,13,7,0.8,1,I will not be shopping here again.,2025-04-04
221,38,Male,Germany,79084,58,34,48.24,11,17,0.4,0,The website is easy to use.,2025-09-12
222,35,Female,Germany,55733,34,33,38.19,14,21,0.79,0,Very satisfied with my purchase.,2025-06-16
223,28,Female,Japan,70754,64,30,52.99,10,29,0.09,0,Good quality and value for money.,2025-10-16
224,19,Female,Australia,59319,39,8,30.91,1,13,0.43,0,Good quality and value for money.,2025-08-12
225,70,Male,UK,167680,18,34,50.8,11,21,0.27,0,Excellent customer service.,2025-09-20
226,23,Female,Brazil,66659,64,19,38.88,5,3,0.2,0,Good quality and value for money.,2025-10-04
227,18,Female,India,51688,54,8,32.36,0,13,0.1,0,Very satisfied with my purchase.,2025-07-26
228,36,Male,France,51192,53,28,31.34,10,28,0.79,0,Love the products and fast shipping.,2025-09-24
229,42,Male,France,27917,37,36,28.43,15,14,0.36,0,Very satisfied with my purchase.,2025-07-24
230,47,Female,Germany,169641,51,32,61.3,9,6,0.31,0,"Great experience, will shop again!",2025-05-16
231,38,Female,UK,75507,79,15,45.68,2,16,0.11,0,"Great experience, will shop again!",2025-10-14
232,42,Male,Germany,146169,29,26,49.3,7,21,0.55,0,"Great experience, will shop again!",2025-05-20
233,31,Male,South Africa,61522,48,34,38.36,13,7,0.67,0,Very satisfied with my purchase.,2025-08-10
234,31,Male,Germany,147719,59,39,54.83,12,25,0.22,0,The website is easy to use.,2025-05-11
235,21,Male,USA,79168,27,5,34.47,0,18,0.98,1,I will not be shopping here again.,2024-07-01
236,18,Female,Brazil,34511,42,5,42.82,0,12,0.51,1,Shipping was too slow.,2024-06-28
237,56,Male,South Africa,45184,71,28,36.77,10,8,0.97,0,Good quality and value for money.,2025-05-05
238,58,Male,USA,174128,77,29,76.25,6,2,0.05,0,Love the products and fast shipping.,2025-05-22
239,63,Male,South Africa,79329,4,6,38.13,0,29,0.98,0,"Great experience, will shop again!",2025-05-20
240,27,Male,USA,113033,78,24,51.73,4,15,0.82,0,Love the products and fast shipping.,2025-09-15
241,53,Female,India,80470,16,19,37.32,7,13,0.78,0,"Great experience, will shop again!",2025-07-06
242,44,Female,USA,126205,97,23,74.21,3,22,0.89,0,Excellent customer service.,2025-07-07
243,67,Male,USA,129780,91,46,56.99,15,18,0.68,0,The website is easy to use.,2025-07-06
244,28,Female,India,77829,46,11,36.99,1,15,0.68,0,"Great experience, will shop again!",2025-09-07
245,57,Female,Canada,97705,34,20,45.61,6,19,0.13,0,The website is easy to use.,2025-06-04
246,31,Male,Canada,52934,46,28,49.64,10,27,0.53,0,Excellent customer service.,2025-09-30
247,64,Male,India,75523,26,30,43.78,12,11,0.97,1,Difficult to navigate the website.,2024-04-04
248,34,Male,Germany,58629,7,35,31.2,15,23,0.93,0,Love the products and fast shipping.,2025-09-24
249,21,Female,France,62828,20,8,28.59,1,19,0.4,0,The website is easy to use.,2025-10-03
250,40,Male,UK,73841,75,42,47.3,15,13,0.15,0,The website is easy to use.,2025-06-28
251,22,Male,India,61757,83,17,42.86,3,18,0.89,0,Good quality and value for money.,2025-09-20
252,66,Female,Japan,92554,2,18,42.6,6,7,0.74,1,The product did not match the description.,2024-12-29
253,42,Female,Canada,55845,66,16,53.96,3,14,0.84,0,The website is easy to use.,2025-10-19
254,65,Male,UK,64168,19,36,30.23,15,1,0.86,1,I will not be shopping here again.,2024-10-16
255,21,Male,France,50886,11,5,40.61,1,24,0.8,1,The product did not match the description.,2024-05-08
256,28,Male,Australia,105736,75,22,52.35,4,7,0.67,0,Excellent customer service.,2025-05-13
257,45,Female,USA,110940,18,19,54.72,6,13,0.9,1,"Poor quality, item broke after a week.",2024-12-03
258,68,Male,Australia,123490,100,36,55.6,10,1,0.77,1,Difficult to navigate the website.,2024-10-16
259,32,Female,Germany,58337,50,11,50.6,2,6,0.12,0,"Great experience, will shop again!",2025-09-04
260,29,Female,USA,83566,32,25,46.23,8,26,0.64,0,The website is easy to use.,2025-09-13
261,58,Male,Canada,137614,78,44,61.49,15,19,0.61,0,Good quality and value for money.,2025-10-02
262,54,Female,USA,88002,93,37,61.12,12,8,0.46,0,Excellent customer service.,2025-05-24
263,59,Female,UK,67320,45,30,49.32,10,12,0.95,1,The product did not match the description.,2024-07-20
264,69,Female,USA,101452,63,34,45.95,12,17,0.57,0,Good quality and value for money.,2025-05-27
265,69,Female,Canada,86691,79,38,43.57,12,5,0.36,0,Good quality and value for money.,2025-07-19
266,26,Male,UK,63145,1,4,34.42,1,16,0.9,0,The website is easy to use.,2025-10-18
267,24,Male,South Africa,74983,27,14,44.28,4,29,0.3,0,The website is easy to use.,2025-05-05
268,36,Female,Brazil,48478,53,33,41.29,13,7,0.27,0,The website is easy to use.,2025-07-19
269,25,Male,UK,95393,89,13,51.21,0,14,0.32,0,Excellent customer service.,2025-09-11
270,62,Male,Canada,102404,62,19,48.55,4,22,0.9,0,The website is easy to use.,2025-10-17
271,51,Female,Brazil,79322,56,22,54.31,5,11,0.06,0,Excellent customer service.,2025-10-08
272,26,Male,Germany,53027,78,12,39.67,0,30,0.85,0,Good quality and value for money.,2025-10-22
273,60,Female,USA,152701,95,45,72.89,13,7,0.72,0,Love the products and fast shipping.,2025-09-29
274,22,Female,UK,42785,55,10,47.09,1,3,0.94,0,Very satisfied with my purchase.,2025-06-21
275,29,Female,India,47805,71,15,45.88,2,9,0.5,0,The website is easy to use.,2025-06-21
276,36,Male,USA,128589,1,16,35.94,4,7,0.86,1,"Poor quality, item broke after a week.",2025-03-11
277,65,Female,USA,133411,99,36,75.61,9,6,0.27,0,Excellent customer service.,2025-06-18
278,48,Male,India,62358,39,23,30.54,7,13,0.38,0,Very satisfied with my purchase.,2025-06-05
279,70,Female,India,70773,98,21,51.0,4,7,0.08,0,Good quality and value for money.,2025-06-05
280,30,Female,USA,137856,25,20,60.87,6,4,0.63,0,Love the products and fast shipping.,2025-06-28
